,gauss,palu,cholesky,jacobi,seidel,sor
c1,0.10206431477664024,0.1020643140616935,,0.10206432054998726,0.10206432069030068,0.10206431900536454
c2,0.18732434190150446,0.1873243405192741,,0.18732435303372422,0.18732435270350267,0.18732435053116875
c3,0.19614659249782562,0.196146592556002,,0.19614660384213584,0.1961466035947692,0.1961466036150584
