,gauss,palu,cholesky,jacobi,seidel,sor
A1,-0.0,-0.0,,1.5733475703554575e-10,7.009844479129941e-10,-1.2878321074760894e-10
A2,-0.0,-0.0,,0.0,8.299600914900876e-10,-3.085841075914626e-12
A3,-0.0,-0.0,,2.1071816407181685e-10,5.766038530352186e-10,-3.759315870420064e-11
